"elemento_grafo";"ci";"cj";"ck";"cl";"cm";"mean_absolute_error"
"A11";0;2;2;2;1;1.08227
"A11";0;2;2;2;2;1.1079
"A11";1;0;0;0;0;0.340136
"A11";1;0;0;0;1;0.34951
"A11";1;0;0;0;2;0.346399
"A11";1;0;0;1;0;0.996726
"A11";1;0;0;1;1;1.10502
"A11";1;0;0;1;2;1.14673
"A11";1;0;0;2;0;1.17262
"A11";1;0;0;2;1;1.20291
"A11";1;0;0;2;2;1.40574
"A11";1;0;1;0;0;0.743949
"A11";1;0;1;0;1;0.779811
"A11";1;0;1;0;2;0.929204
"A11";1;0;1;1;0;0.854711
"A11";1;0;1;1;1;0.869602
"A11";1;0;1;1;2;0.909761
"A11";1;0;1;2;0;1.43132
"A11";1;0;1;2;1;1.44457
"A11";1;0;1;2;2;1.49257
"A11";1;0;2;0;0;0.865982
"A11";1;0;2;0;1;0.852779
"A11";1;0;2;0;2;0.875399
"A11";1;0;2;1;0;0.886261
"A11";1;0;2;1;1;0.923024
"A11";1;0;2;1;2;0.92913
"A11";1;0;2;2;0;1.45152
"A11";1;0;2;2;1;1.50723
"A11";1;0;2;2;2;1.66371
"A11";1;1;0;0;0;0.515375
"A11";1;1;0;0;1;0.477631
"A11";1;1;0;0;2;0.47888
"A11";1;1;0;1;0;0.992804
"A11";1;1;0;1;1;0.970514
"A11";1;1;0;1;2;1.0938
"A11";1;1;0;2;0;1.3795
"A11";1;1;0;2;1;1.45333
"A11";1;1;0;2;2;1.61551
"A11";1;1;1;0;0;0.853102
"A11";1;1;1;0;1;1.42272
"A11";1;1;1;0;2;1.50791
"A11";1;1;1;1;0;1.37219
"A11";1;1;1;1;1;1.57689
"A11";1;1;1;1;2;1.74821
"A11";1;1;1;2;0;1.44001
"A11";1;1;1;2;1;1.49031
"A11";1;1;1;2;2;1.64562
"A11";1;1;2;0;0;1.33202
"A11";1;1;2;0;1;1.52483
"A11";1;1;2;0;2;1.9495
"A11";1;1;2;1;0;0.929988
"A11";1;1;2;1;1;0.92603
"A11";1;1;2;1;2;1.00082
"A11";1;1;2;2;0;1.60626
"A11";1;1;2;2;1;1.59191
"A11";1;1;2;2;2;1.65812
"A11";1;2;0;0;0;0.574706
"A11";1;2;0;0;1;0.748862
"A11";1;2;0;0;2;0.936876
"A11";1;2;0;1;0;1.03284
"A11";1;2;0;1;1;1.15162
"A11";1;2;0;1;2;1.30416
"A11";1;2;0;2;0;2.17527
"A11";1;2;0;2;1;2.36207
"A11";1;2;0;2;2;2.65718
"A11";1;2;1;0;0;0.751698
"A11";1;2;1;0;1;0.768252
"A11";1;2;1;0;2;0.773078
"A11";1;2;1;1;0;1.26326
"A11";1;2;1;1;1;1.34421
"A11";1;2;1;1;2;1.43235
"A11";1;2;1;2;0;2.12802
"A11";1;2;1;2;1;2.22729
"A11";1;2;1;2;2;2.44073
"A11";1;2;2;0;0;1.2749
"A11";1;2;2;0;1;2.86042
"A11";1;2;2;0;2;3.54135
"A11";1;2;2;1;0;1.04602
"A11";1;2;2;1;1;1.04583
"A11";1;2;2;1;2;1.24614
"A11";1;2;2;2;0;2.36825
"A11";1;2;2;2;1;2.40213
"A11";1;2;2;2;2;2.54417
"A11";2;0;0;0;0;0.572965
"A11";2;0;0;0;1;0.60279
"A11";2;0;0;0;2;0.721912
"A11";2;0;0;1;0;0.778939
"A11";2;0;0;1;1;0.801109
"A11";2;0;0;1;2;0.971355
"A11";2;0;0;2;0;1.36047
"A11";2;0;0;2;1;1.38468
"A11";2;0;0;2;2;1.42306
"A11";2;0;1;0;0;0.885301
"A11";2;0;1;0;1;1.03202
"A11";2;0;1;0;2;1.28538
"A11";2;0;1;1;0;1.02277
"A11";2;0;1;1;1;1.09837
"A11";2;0;1;1;2;1.22731
"A11";2;0;1;2;0;1.70728
"A11";2;0;1;2;1;1.76049
"A11";2;0;1;2;2;1.87462
"A11";2;0;2;0;0;1.11888
"A11";2;0;2;0;1;1.15673
"A11";2;0;2;0;2;1.29451
"A11";2;0;2;1;0;1.14385
"A11";2;0;2;1;1;1.18912
"A11";2;0;2;1;2;1.29126
"A11";2;0;2;2;0;1.65631
"A11";2;0;2;2;1;1.65327
"A11";2;0;2;2;2;1.82903
"A11";2;1;0;0;0;0.698974
"A11";2;1;0;0;1;0.6742
"A11";2;1;0;0;2;0.831608
"A11";2;1;0;1;0;0.97943
"A11";2;1;0;1;1;1.02477
"A11";2;1;0;1;2;1.19737
"A11";2;1;0;2;0;1.50829
"A11";2;1;0;2;1;1.52835
"A11";2;1;0;2;2;1.60845
"A11";2;1;1;0;0;0.834431
"A11";2;1;1;0;1;0.861714
"A11";2;1;1;0;2;0.871298
"A11";2;1;1;1;0;1.12587
"A11";2;1;1;1;1;1.14757
"A11";2;1;1;1;2;1.25837
"A11";2;1;1;2;0;1.74619
"A11";2;1;1;2;1;1.71654
"A11";2;1;1;2;2;1.83296
"A11";2;1;2;0;0;1.19478
"A11";2;1;2;0;1;1.20783
"A11";2;1;2;0;2;1.19463
"A11";2;1;2;1;0;1.70002
"A11";2;1;2;1;1;1.74121
"A11";2;1;2;1;2;1.92594
"A11";2;1;2;2;0;2.0375
"A11";2;1;2;2;1;2.0799
"A11";2;1;2;2;2;2.15621
"A11";2;2;0;0;0;0.894744
"A11";2;2;0;0;1;1.01287
"A11";2;2;0;0;2;1.14451
"A11";2;2;0;1;0;1.31226
"A11";2;2;0;1;1;1.24485
"A11";2;2;0;1;2;1.2433
"A11";2;2;0;2;0;1.70661
"A11";2;2;0;2;1;1.68364
"A11";2;2;0;2;2;1.72348
"A11";2;2;1;0;0;1.25517
"A11";2;2;1;0;1;1.53293
"A11";2;2;1;0;2;1.65663
"A11";2;2;1;1;0;1.97896
"A11";2;2;1;1;1;2.13435
"A11";2;2;1;1;2;2.25248
"A11";2;2;1;2;0;2.20357
"A11";2;2;1;2;1;2.21016
"A11";2;2;1;2;2;2.44974
"A11";2;2;2;0;0;1.44581
"A11";2;2;2;0;1;1.40024
"A11";2;2;2;0;2;1.54295
"A11";2;2;2;1;0;1.99199
"A11";2;2;2;1;1;2.28866
"A11";2;2;2;1;2;2.79968
